date,dateFa,yearFa,monthFa,dwnldTB,upldTB,sumTB,fileLink
2021-06-13,1400-03-23,1400,03,1061.6,113.4,1175,https://10.1.33.80/report-khorasan-razavi/daily_report_kh-razavi_2021-06-13.csv
2021-06-11,1400-03-21,1400,03,1033.8,104.7,1138.5,https://10.1.33.80/report-khorasan-razavi/daily_report_kh-razavi_2021-06-11.csv
2021-07-13,1400-04-22,1400,04,1077.7,111,1188.7,https://10.1.33.80/report-khorasan-razavi/daily_report_kh-razavi_2021-07-13.csv
2021-06-23,1400-04-02,1400,04,1046.6,113.2,1159.8,https://10.1.33.80/report-khorasan-razavi/daily_report_kh-razavi_2021-06-23.csv
2021-06-21,1400-03-31,1400,03,1039.3,113.3,1152.6,https://10.1.33.80/report-khorasan-razavi/daily_report_kh-razavi_2021-06-21.csv
2021-06-20,1400-03-30,1400,03,548.7,59.6,608.3,https://10.1.33.80/report-khorasan-razavi/daily_report_kh-razavi_2021-06-20.csv
2021-06-18,1400-03-28,1400,03,490.7,51.1,541.8,https://10.1.33.80/report-khorasan-razavi/daily_report_kh-razavi_2021-06-18.csv
2021-06-16,1400-03-26,1400,03,544.2,58.9,603.1,https://10.1.33.80/report-khorasan-razavi/daily_report_kh-razavi_2021-06-16.csv
2021-06-24,1400-04-03,1400,04,536.3,55,591.3,https://10.1.33.80/report-khorasan-razavi/daily_report_kh-razavi_2021-06-24.csv
2021-06-22,1400-04-01,1400,04,543.8,59.4,603.2,https://10.1.33.80/report-khorasan-razavi/daily_report_kh-razavi_2021-06-22.csv
2021-07-12,1400-04-21,1400,04,564.9,57.7,622.6,https://10.1.33.80/report-khorasan-razavi/daily_report_kh-razavi_2021-07-12.csv
2021-07-14,1400-04-23,1400,04,570.5,58.3,628.8,https://10.1.33.80/report-khorasan-razavi/daily_report_kh-razavi_2021-07-14.csv
2021-05-01,1400-02-11,1400,02,454,48.3,502.3,https://10.1.33.80/report-khorasan-razavi/daily_report_kh-razavi_2021-05-01.csv
2021-04-26,1400-02-06,1400,02,842.6,91.9,934.5,https://10.1.33.80/report-khorasan-razavi/daily_report_kh-razavi_2021-04-26.csv
2021-04-24,1400-02-04,1400,02,810.8,85,895.8,https://10.1.33.80/report-khorasan-razavi/daily_report_kh-razavi_2021-04-24.csv
2021-04-22,1400-02-02,1400,02,824.2,87.5,911.7,https://10.1.33.80/report-khorasan-razavi/daily_report_kh-razavi_2021-04-22.csv
2020-11-01,1399-08-11,1399,08,301.1,35.7,336.8,https://10.1.33.80/report-khorasan-razavi/daily_report_kh-razavi_2020-11-01.csv
2021-07-17,1400-04-26,1400,04,1044.9,106.9,1151.8,https://10.1.33.80/report-khorasan-razavi/daily_report_kh-razavi_2021-07-17.csv
2021-07-15,1400-04-24,1400,04,1072.4,109.4,1181.8,https://10.1.33.80/report-khorasan-razavi/daily_report_kh-razavi_2021-07-15.csv
2020-11-11,1399-08-21,1399,08,329.6,39.3,368.9,https://10.1.33.80/report-khorasan-razavi/daily_report_kh-razavi_2020-11-11.csv
2020-11-12,1399-08-22,1399,08,316.2,36.5,352.7,https://10.1.33.80/report-khorasan-razavi/daily_report_kh-razavi_2020-11-12.csv
2020-11-02,1399-08-12,1399,08,315,37.6,352.6,https://10.1.33.80/report-khorasan-razavi/daily_report_kh-razavi_2020-11-02.csv
2020-11-04,1399-08-14,1399,08,325.7,38.8,364.5,https://10.1.33.80/report-khorasan-razavi/daily_report_kh-razavi_2020-11-04.csv
2020-11-05,1399-08-15,1399,08,308.3,34.9,343.2,https://10.1.33.80/report-khorasan-razavi/daily_report_kh-razavi_2020-11-05.csv
2020-11-03,1399-08-13,1399,08,300.9,33.3,334.2,https://10.1.33.80/report-khorasan-razavi/daily_report_kh-razavi_2020-11-03.csv
2020-11-07,1399-08-17,1399,08,315.6,37.9,353.5,https://10.1.33.80/report-khorasan-razavi/daily_report_kh-razavi_2020-11-07.csv
2021-07-16,1400-04-25,1400,04,528.7,52.4,581.1,https://10.1.33.80/report-khorasan-razavi/daily_report_kh-razavi_2021-07-16.csv
2021-05-29,1400-03-08,1400,03,530,52.9,582.9,https://10.1.33.80/report-khorasan-razavi/daily_report_kh-razavi_2021-05-29.csv
2021-05-31,1400-03-10,1400,03,501.2,50,551.2,https://10.1.33.80/report-khorasan-razavi/daily_report_kh-razavi_2021-05-31.csv
2021-05-24,1400-03-03,1400,03,984.1,103,1087.1,https://10.1.33.80/report-khorasan-razavi/daily_report_kh-razavi_2021-05-24.csv
2020-11-06,1399-08-16,1399,08,297.3,33.1,330.4,https://10.1.33.80/report-khorasan-razavi/daily_report_kh-razavi_2020-11-06.csv
2021-05-03,1400-02-13,1400,02,404.8,43.3,448.1,https://10.1.33.80/report-khorasan-razavi/daily_report_kh-razavi_2021-05-03.csv
2020-11-08,1399-08-18,1399,08,305.7,37.8,343.5,https://10.1.33.80/report-khorasan-razavi/daily_report_kh-razavi_2020-11-08.csv
2020-11-09,1399-08-19,1399,08,307.4,38,345.4,https://10.1.33.80/report-khorasan-razavi/daily_report_kh-razavi_2020-11-09.csv
2021-05-06,1400-02-16,1400,02,784.5,82.7,867.2,https://10.1.33.80/report-khorasan-razavi/daily_report_kh-razavi_2021-05-06.csv
2021-04-30,1400-02-10,1400,02,753.1,76.8,829.9,https://10.1.33.80/report-khorasan-razavi/daily_report_kh-razavi_2021-04-30.csv
2021-05-07,1400-02-17,1400,02,408.7,40.6,449.3,https://10.1.33.80/report-khorasan-razavi/daily_report_kh-razavi_2021-05-07.csv
2021-05-04,1400-02-14,1400,02,754.6,77.7,832.3,https://10.1.33.80/report-khorasan-razavi/daily_report_kh-razavi_2021-05-04.csv
2021-05-05,1400-02-15,1400,02,445.2,47.7,492.9,https://10.1.33.80/report-khorasan-razavi/daily_report_kh-razavi_2021-05-05.csv
2021-07-06,1400-04-15,1400,04,446.8,46.4,493.2,https://10.1.33.80/report-khorasan-razavi/daily_report_kh-razavi_2021-07-06.csv
2021-05-25,1400-03-04,1400,03,529.2,53.3,582.5,https://10.1.33.80/report-khorasan-razavi/daily_report_kh-razavi_2021-05-25.csv
2021-07-08,1400-04-17,1400,04,532.2,52.8,585,https://10.1.33.80/report-khorasan-razavi/daily_report_kh-razavi_2021-07-08.csv
2021-06-30,1400-04-09,1400,04,546.8,55.8,602.6,https://10.1.33.80/report-khorasan-razavi/daily_report_kh-razavi_2021-06-30.csv
2020-11-10,1399-08-20,1399,08,322.3,39.1,361.4,https://10.1.33.80/report-khorasan-razavi/daily_report_kh-razavi_2020-11-10.csv
2021-07-10,1400-04-19,1400,04,569.1,58.5,627.6,https://10.1.33.80/report-khorasan-razavi/daily_report_kh-razavi_2021-07-10.csv
2021-07-09,1400-04-18,1400,04,1021.7,101.2,1122.9,https://10.1.33.80/report-khorasan-razavi/daily_report_kh-razavi_2021-07-09.csv
2021-05-30,1400-03-09,1400,03,1001.2,99.8,1101,https://10.1.33.80/report-khorasan-razavi/daily_report_kh-razavi_2021-05-30.csv
2021-06-06,1400-03-16,1400,03,539.8,52.6,592.4,https://10.1.33.80/report-khorasan-razavi/daily_report_kh-razavi_2021-06-06.csv
2021-06-07,1400-03-17,1400,03,1054.6,105.7,1160.3,https://10.1.33.80/report-khorasan-razavi/daily_report_kh-razavi_2021-06-07.csv
2021-06-01,1400-03-11,1400,03,992,99.3,1091.3,https://10.1.33.80/report-khorasan-razavi/daily_report_kh-razavi_2021-06-01.csv
2020-11-16,1399-08-26,1399,08,326.8,39.9,366.7,https://10.1.33.80/report-khorasan-razavi/daily_report_kh-razavi_2020-11-16.csv
2021-06-29,1400-04-08,1400,04,1071.7,110.4,1182.1,https://10.1.33.80/report-khorasan-razavi/daily_report_kh-razavi_2021-06-29.csv
2021-07-01,1400-04-10,1400,04,1027.3,104.5,1131.8,https://10.1.33.80/report-khorasan-razavi/daily_report_kh-razavi_2021-07-01.csv
2021-06-08,1400-03-18,1400,03,570.9,58,628.9,https://10.1.33.80/report-khorasan-razavi/daily_report_kh-razavi_2021-06-08.csv
2021-06-25,1400-04-04,1400,04,1004.1,100.8,1104.9,https://10.1.33.80/report-khorasan-razavi/daily_report_kh-razavi_2021-06-25.csv
2021-07-03,1400-04-12,1400,04,1029.9,103.4,1133.3,https://10.1.33.80/report-khorasan-razavi/daily_report_kh-razavi_2021-07-03.csv
2021-06-26,1400-04-05,1400,04,560.9,57.5,618.4,https://10.1.33.80/report-khorasan-razavi/daily_report_kh-razavi_2021-06-26.csv
2021-06-27,1400-04-06,1400,04,1070,110.2,1180.2,https://10.1.33.80/report-khorasan-razavi/daily_report_kh-razavi_2021-06-27.csv
2021-06-28,1400-04-07,1400,04,561.3,57.9,619.2,https://10.1.33.80/report-khorasan-razavi/daily_report_kh-razavi_2021-06-28.csv
2020-11-20,1399-08-30,1399,08,327.7,35.3,363,https://10.1.33.80/report-khorasan-razavi/daily_report_kh-razavi_2020-11-20.csv
2020-11-17,1399-08-27,1399,08,317.9,38.3,356.2,https://10.1.33.80/report-khorasan-razavi/daily_report_kh-razavi_2020-11-17.csv
2021-07-02,1400-04-11,1400,04,520.5,50.9,571.4,https://10.1.33.80/report-khorasan-razavi/daily_report_kh-razavi_2021-07-02.csv
2021-07-05,1400-04-14,1400,04,684.7,70.9,755.6,https://10.1.33.80/report-khorasan-razavi/daily_report_kh-razavi_2021-07-05.csv
2020-11-18,1399-08-28,1399,08,337.2,40.5,377.7,https://10.1.33.80/report-khorasan-razavi/daily_report_kh-razavi_2020-11-18.csv
2021-07-07,1400-04-16,1400,04,946.6,97.5,1044.1,https://10.1.33.80/report-khorasan-razavi/daily_report_kh-razavi_2021-07-07.csv
2020-11-23,1399-09-03,1399,09,353.8,42.5,396.3,https://10.1.33.80/report-khorasan-razavi/daily_report_kh-razavi_2020-11-23.csv
2020-11-14,1399-08-24,1399,08,333.9,40.4,374.3,https://10.1.33.80/report-khorasan-razavi/daily_report_kh-razavi_2020-11-14.csv
2020-11-13,1399-08-23,1399,08,309.5,34.3,343.8,https://10.1.33.80/report-khorasan-razavi/daily_report_kh-razavi_2020-11-13.csv
2020-11-15,1399-08-25,1399,08,332.6,39.9,372.5,https://10.1.33.80/report-khorasan-razavi/daily_report_kh-razavi_2020-11-15.csv
2020-11-19,1399-08-29,1399,08,318.4,36.3,354.7,https://10.1.33.80/report-khorasan-razavi/daily_report_kh-razavi_2020-11-19.csv
2020-11-25,1399-09-05,1399,09,350.8,42.2,393,https://10.1.33.80/report-khorasan-razavi/daily_report_kh-razavi_2020-11-25.csv
2020-11-21,1399-09-01,1399,09,360.9,43.1,404,https://10.1.33.80/report-khorasan-razavi/daily_report_kh-razavi_2020-11-21.csv
2020-12-20,1399-09-30,1399,09,336,44.1,380.1,https://10.1.33.80/report-khorasan-razavi/daily_report_kh-razavi_2020-12-20.csv
2020-11-22,1399-09-02,1399,09,368.2,44.5,412.7,https://10.1.33.80/report-khorasan-razavi/daily_report_kh-razavi_2020-11-22.csv
2020-12-17,1399-09-27,1399,09,327.3,39.8,367.1,https://10.1.33.80/report-khorasan-razavi/daily_report_kh-razavi_2020-12-17.csv
2020-12-21,1399-10-01,1399,10,330.6,43.3,373.9,https://10.1.33.80/report-khorasan-razavi/daily_report_kh-razavi_2020-12-21.csv
2020-12-26,1399-10-06,1399,10,356.3,44.8,401.1,https://10.1.33.80/report-khorasan-razavi/daily_report_kh-razavi_2020-12-26.csv
2020-11-24,1399-09-04,1399,09,354.8,42.8,397.6,https://10.1.33.80/report-khorasan-razavi/daily_report_kh-razavi_2020-11-24.csv
2020-12-15,1399-09-25,1399,09,350.2,43.8,394,https://10.1.33.80/report-khorasan-razavi/daily_report_kh-razavi_2020-12-15.csv
2020-12-23,1399-10-03,1399,10,335.8,42.7,378.5,https://10.1.33.80/report-khorasan-razavi/daily_report_kh-razavi_2020-12-23.csv
2020-12-16,1399-09-26,1399,09,346.6,43,389.6,https://10.1.33.80/report-khorasan-razavi/daily_report_kh-razavi_2020-12-16.csv
2020-12-19,1399-09-29,1399,09,368,47,415,https://10.1.33.80/report-khorasan-razavi/daily_report_kh-razavi_2020-12-19.csv
2020-12-18,1399-09-28,1399,09,325.2,38.4,363.6,https://10.1.33.80/report-khorasan-razavi/daily_report_kh-razavi_2020-12-18.csv
2021-03-13,1399-12-23,1399,12,815,86.3,901.3,https://10.1.33.80/report-khorasan-razavi/daily_report_kh-razavi_2021-03-13.csv
2021-02-20,1399-12-02,1399,12,414.8,47.9,462.7,https://10.1.33.80/report-khorasan-razavi/daily_report_kh-razavi_2021-02-20.csv
2021-01-25,1399-11-06,1399,11,399.1,48.6,447.7,https://10.1.33.80/report-khorasan-razavi/daily_report_kh-razavi_2021-01-25.csv
2021-02-18,1399-11-30,1399,11,364.8,42.5,407.3,https://10.1.33.80/report-khorasan-razavi/daily_report_kh-razavi_2021-02-18.csv
2021-02-21,1399-12-03,1399,12,768,89.3,857.3,https://10.1.33.80/report-khorasan-razavi/daily_report_kh-razavi_2021-02-21.csv
2021-03-11,1399-12-21,1399,12,732,77.7,809.7,https://10.1.33.80/report-khorasan-razavi/daily_report_kh-razavi_2021-03-11.csv
2021-02-27,1399-12-09,1399,12,764.7,83.7,848.4,https://10.1.33.80/report-khorasan-razavi/daily_report_kh-razavi_2021-02-27.csv
2021-02-28,1399-12-10,1399,12,412.8,47.1,459.9,https://10.1.33.80/report-khorasan-razavi/daily_report_kh-razavi_2021-02-28.csv
2021-03-07,1399-12-17,1399,12,788.8,89.9,878.7,https://10.1.33.80/report-khorasan-razavi/daily_report_kh-razavi_2021-03-07.csv
2021-03-05,1399-12-15,1399,12,720.1,76.7,796.8,https://10.1.33.80/report-khorasan-razavi/daily_report_kh-razavi_2021-03-05.csv
2021-03-09,1399-12-19,1399,12,766,87,853,https://10.1.33.80/report-khorasan-razavi/daily_report_kh-razavi_2021-03-09.csv
2021-02-19,1399-12-01,1399,12,667.9,76,743.9,https://10.1.33.80/report-khorasan-razavi/daily_report_kh-razavi_2021-02-19.csv
2021-02-17,1399-11-29,1399,11,722.1,85.6,807.7,https://10.1.33.80/report-khorasan-razavi/daily_report_kh-razavi_2021-02-17.csv
2021-02-22,1399-12-04,1399,12,389.8,45.9,435.7,https://10.1.33.80/report-khorasan-razavi/daily_report_kh-razavi_2021-02-22.csv
2021-03-06,1399-12-16,1399,12,438.6,49.2,487.8,https://10.1.33.80/report-khorasan-razavi/daily_report_kh-razavi_2021-03-06.csv
2021-02-24,1399-12-06,1399,12,380.1,43,423.1,https://10.1.33.80/report-khorasan-razavi/daily_report_kh-razavi_2021-02-24.csv
2021-03-08,1399-12-18,1399,12,409.7,46.5,456.2,https://10.1.33.80/report-khorasan-razavi/daily_report_kh-razavi_2021-03-08.csv
2021-03-12,1399-12-22,1399,12,410.9,41.9,452.8,https://10.1.33.80/report-khorasan-razavi/daily_report_kh-razavi_2021-03-12.csv
2021-02-25,1399-12-07,1399,12,712.9,78.8,791.7,https://10.1.33.80/report-khorasan-razavi/daily_report_kh-razavi_2021-02-25.csv
